路線名,石北線,会社名,JR北海道,区分,地方交通線,区間,新旭川,〜,網走,,,,,,
駅名,よみ,英語,dir1(東),営業キロ,dir2(西),営業キロ,dir3(南),営業キロ,dir4(北),営業キロ,dir5(その他),営業キロ,特定都市フラグ,特定都市,特定起点
新旭川,,,南永山,2.5,旭川四条,1.9,,,永山,5.6,,,0,,
南永山,,,東旭川,2.7,新旭川,2.5,,,,,,,0,,
東旭川,,,北日ノ出,2.1,南永山,2.7,,,,,,,0,,
北日ノ出,,,桜岡,2.9,東旭川,2.1,,,,,,,0,,
桜岡,,,当麻,3.7,北日ノ出,2.9,,,,,,,0,,
当麻,,,将軍山,3.5,桜岡,3.7,,,,,,,0,,
将軍山,,,伊香牛,2.1,当麻,3.5,,,,,,,0,,
伊香牛,,,愛別,6.4,将軍山,2.1,,,,,,,0,,
愛別,,,中愛別,6.1,伊香牛,6.4,,,,,,,0,,
中愛別,,,愛山,4,愛別,6.1,,,,,,,0,,
愛山,,,安足間,2,中愛別,4,,,,,,,0,,
安足間,,,東雲,2.4,愛山,2,,,,,,,0,,
東雲,,,上川,4.5,安足間,2.4,,,,,,,0,,
上川,,,白滝,37.3,東雲,4.5,,,,,,,0,,
白滝,,,丸瀬布,19.7,上川,37.3,,,,,,,0,,
丸瀬布,,,瀬戸瀬,7.8,白滝,19.7,,,,,,,0,,
瀬戸瀬,,,遠軽,11.1,丸瀬布,7.8,,,,,,,0,,
遠軽,,,安国,8,瀬戸瀬,11.1,,,,,,,0,,
安国,,,生野,3.9,遠軽,8,,,,,,,0,,
生野,,,生田原,5,安国,3.9,,,,,,,0,,
生田原,,,西留辺蘂,18.5,生野,5,,,,,,,0,,
西留辺蘂,,,留辺蘂,2,生田原,18.5,,,,,,,0,,
留辺蘂,,,相内,10.9,西留辺蘂,2,,,,,,,0,,
相内,,,東相内,4.6,留辺蘂,10.9,,,,,,,0,,
東相内,,,西北見,2.6,相内,4.6,,,,,,,0,,
西北見,,,北見,4.7,東相内,2.6,,,,,,,0,,
北見,,,柏陽,2.7,西北見,4.7,,,,,,,0,,
柏陽,,,愛し野,2.2,北見,2.7,,,,,,,0,,
愛し野,,,端野,1.4,柏陽,2.2,,,,,,,0,,
端野,,,緋牛内,7.3,愛し野,1.4,,,,,,,0,,
緋牛内,,,美幌,11.5,端野,7.3,,,,,,,0,,
美幌,,,西女満別,7,緋牛内,11.5,,,,,,,0,,
西女満別,,,女満別,5,美幌,7,,,,,,,0,,
女満別,,,呼人,7.8,西女満別,5,,,,,,,0,,
呼人,,,網走,8.1,女満別,7.8,,,,,,,0,,
網走,,,桂台,1.4,呼人,8.1,,,,,,,0,,