路線名,石北線,会社名,JR北海道,区分,地方交通線,区間,網走,〜,東釧路,,,,,,
駅名,よみ,英語,dir1(東),営業キロ,dir2(西),営業キロ,dir3(南),営業キロ,dir4(北),営業キロ,dir5(その他),営業キロ,特定都市フラグ,特定都市,特定起点
網走,あばしり,,,,呼人,8.1,桂台,1.4,,,,,0,,
桂台,かつらだい,,,,,,鱒浦,4.8,網走,1.4,,,0,,
鱒浦,ますうら,,,,,,藻琴,2.5,桂台,4.8,,,0,,
藻琴,もこと,,,,,,北浜,2.8,鱒浦,2.5,,,0,,
北浜,きたはま,,,,,,(臨)原生花園,5.4,藻琴,2.8,,,0,,
(臨)原生花園,げんせいかえん,,,,,,浜小清水,3.2,北浜,5.4,,,0,,
浜小清水,はまこしみず,,,,,,止別,5.7,(臨)原生花園,3.2,,,0,,
止別,やむべつ,,,,,,知床斜里,11.5,浜小清水,5.7,,,0,,
知床斜里,しれとこしゃり,,,,,,中斜里,4.6,止別,11.5,,,0,,
中斜里,なかしゃり,,,,,,南斜里,2.2,知床斜里,4.6,,,0,,
南斜里,みなみしゃり,,,,,,清里町,5.1,中斜里,2.2,,,0,,
清里町,きよさとちょう,,,,,,札弦,7.8,南斜里,5.1,,,0,,
札弦,さっつる,,,,,,緑,8.3,清里町,7.8,,,0,,
緑,みどり,,,,,,川湯温泉,14.5,札弦,8.3,,,0,,
川湯温泉,かわゆおんせん,,,,,,美留和,7.2,緑,14.5,,,0,,
美留和,びるわ,,,,,,摩周,8.7,川湯温泉,7.2,,,0,,
摩周,ましゅう,,,,,,磯分内,14.7,美留和,8.7,,,0,,
磯分内,いそぶんない,,,,,,標茶,10.6,摩周,14.7,,,0,,
標茶,しべちゃ,,,,,,茅沼,13.9,磯分内,10.6,,,0,,
茅沼,かやぬま,,,,,,塘路,7,標茶,13.9,,,0,,
塘路,とうろ,,,,,,細岡,7.2,茅沼,7,,,0,,
細岡,ほそおか,,,,,,釧路湿原,2.4,塘路,7.2,,,0,,
釧路湿原,くしろしつげん,,,,,,遠矢,7.3,細岡,2.4,,,0,,
遠矢,とおや,,,,,,東釧路,7.4,釧路湿原,7.3,,,0,,
東釧路,ひがしくしろ,,武佐,1.2,釧路,2.9,,,遠矢,7.4,,,0,,